uniq_id,Back End,Business analyst,Cloud Computing,Data Scientist,Database Administrator(DBA),DevOps,Enterprise application,Front End,Full stack,Game developer,Information Security,Mobile Developer,Network Engineer,Product Manager,QA/Test Developer,Sales professional,Software Developer/Java Developer,System Administrator,Unnamed: 0,Web Developer
0,,,,,,,,,,,,,,,1.0,,,,418ff92580b270ef4e7c14f0ddfc36b4,
1,,,,,,,,,,,1.0,,,,,,,,8aec88cba08d53da65ab99cf20f6f9d9,
2,,1.0,,,,,,,,,,,,,,,,,46baa1f69ac07779274bcd90b85d9a72,
3,,,,,,,0.180669760482383,0.18000577130777498,,,,,,,,0.18099037259731726,0.28463977164419874,0.1736943239683259,3941b2f206ae0f900c4fba4ac0b18719,
4,,,,,,1.0,,,,,,,,,,,,,45efa1f6bc65acc32bbbb953a1ed13b7,
5,,,,,,,,,,,,,,,1.0,,,,e0ac9d926dda5e95162ef05adea7318c,
6,,,,,,,,,,,,,1.0,,,,,,e7e326053c586bd94e59f1fd74de4a1b,
7,0.40652314124449396,,,,,,,,,,,,,,,,,,b0dadecf4c3c2beecb9c773ca11ecda4,0.5934768587555059
8,,,,,,,,1.0,,,,,,,,,,,28f5e0c1cc3314813e674f0c32b04d1b,
9,,,,,,,1.0,,,,,,,,,,,,95c9127e2770172f454f3b83981eaa88,
10,,,,,,,,,,,,,0.6890662045106618,,0.31093379548933825,,,,5e0ff38f5eaf44726f4e3d1dd257a244,
11,,,,,,,,,,,1.0,,,,,,,,e4a1ff1b6c0fda5f345e57cf1acb40dd,
12,,,,,,,,,,,,,,1.0,,,,,d0c81a2e3e5d666f3d730f1048c49132,
13,0.18585473958599746,,,,,,0.1754808365671965,0.17480430712944955,,,,,,0.17910782016086582,,0.28475229655649065,,,51279d060da242e3baea98b26ddd641e,
14,,,,,,,,,,,,,,1.0,,,,,48b7ca0c2f6191fb48e7ecf19fbd3322,
15,,,,,,,,,,,,,,,,,,1.0,9e5704d08bc07ddb6df9ef98b223b036,
16,,,,,,,,,,,,,,,1.0,,,,e4dceaaaaae37ca6eabb04a7d42498b4,
17,,0.5854615522224642,,,,,,,,,0.4145384477775359,,,,,,,,7ad2eadde69e07fee0e38c1a251dd81f,
18,,,,,,,,,,,,,,,,,,1.0,f3af6886ca0d133abda2ddf9b84633e4,
19,,,,,,,,0.13257190750088316,0.12647493007004948,,,,0.12726841738796565,0.13606704842567427,,,0.21565097295590455,0.13041036455788374,e4f57bc5366124a0a47cac27f557f9ec,0.13155635910163918
20,,1.0,,,,,,,,,,,,,,,,,d3073d47b79938269b22bdea4dc0b9b8,
21,,,,,,,,,,,,,,1.0,,,,,c014c8569c91f22bc871940bfa4b4296,
22,,,,,,,0.2267582478717397,,,,,,,,0.33516272694439353,0.220194374065809,,0.21788465111805785,b7fab2d3de5e129310b382d8f51508f6,
23,0.2871207995670752,,,,,,,,,,0.28692374755569106,,,,,0.42595545287723374,,,4868383e3f99535778f354fcb734d57c,
24,,,,,,,0.27625557587626703,,,,0.29285865610620354,,0.4308857680175294,,,,,,81f8732626888727fcc1093b6c084839,
25,,,,,,,,,,,,,,1.0,,,,,cf902dc6fd702207563ed1cdc03ef05e,
26,,,,,,,,,,,,,,,,,1.0,,1bef3cf6259e80d18222407858ad9052,
27,,,,,,,0.1533483107927022,,0.14569346073496428,,,,0.14029546884701807,0.15111926335305553,0.2612140530025693,,,0.14832944326969058,72a3f0f0f24a0a78c5fac3c2376f5979,
28,0.2147698825669576,,,,,,,,0.20818643423153452,,0.357967559404154,,,0.219076123797354,,,,,4a3f8742fae151757eb290a774968371,
29,0.28462555503478765,,,,,,,,,,0.2905682266929368,,0.4248062182722755,,,,,,b1db84e23f424b1481b29212749abadc,
30,,,,,,,,,,,,,,,,,1.0,,51a0050d469e787dba2102383797536d,
31,,1.0,,,,,,,,,,,,,,,,,f2ade5d053b992593e2bdacd83a18a7f,
32,0.4112857814013353,,,,,,,,,,,0.5887142185986648,,,,,,,2831bbdba025f87efca38b9761f26b95,
33,,,,,,,0.18063084283583256,0.17686341731483762,,,,,,0.17158864420869036,,,0.2941834740335973,0.17673362160704226,2b2322459de27834b0c3c86737fb16a8,
34,,1.0,,,,,,,,,,,,,,,,,b923d29624fb4dc9e193aa30f8253ee6,
35,,,,,,,,,,,0.4126281425677645,,,,,,0.5873718574322356,,5be5533c9ed448d1ef92016a56573869,
36,,,,0.14401741121818448,,,,,,0.13928083885042306,,0.1421612990028452,,,,,0.139220699371751,0.28089923090838137,ebdaa795cb443c6b7881b7a15c4c25b1,0.15442052064841502
37,,,,,,,,,,,,,,,,,1.0,,d92f267244249065890ee6bde5275f49,
38,,,,,,,,,,,,,,,,,1.0,,8cbcc9ef3be25e4409fcb4ab55d6503d,
39,,,,,,,0.15291245162411354,0.15591865109164785,0.1463417111332029,,,0.2512093814663379,,0.1517679768551319,,,,0.1418498278295659,e2f1a046c937631529aec11a56f8590a,
40,,,,,,,,,,,1.0,,,,,,,,a2ef697606d460795dda16de672a5d5d,
41,,,,,,,,,,,,,,,,,1.0,,d1130a38c05cd6f6df40a2636a76ea5b,
42,,,,,,,,,,,,,,,,,1.0,,8cb4914f42c5b805d19be0952b3c88e9,
43,,1.0,,,,,,,,,,,,,,,,,8c50099ba0e24e089c12c6e68bb2bdc6,
44,,,,,0.1296271371249145,,0.127985807902845,0.13642890063609553,0.12462049924410452,,0.22448752319406945,,,0.12617842201264765,,,,0.13067170988532326,d6920e2979999da6d892774e2be97b75,
45,,,,,,,,,,,,,,,1.0,,,,72e40fa6a09e015785a798433af77387,
46,,,,,,,,,,,,,,,,,,1.0,47d7528160f4860a7bfd6dc1b9cdefb8,
47,,,,,,,,,,,,,,,,,1.0,,065002d37b05ad5fa6478b709b94a3a4,
48,0.21213408556650246,,,,,,0.2269127436108993,,,,,,0.3461863758748581,,,,,0.2147667949477402,b2db6c4923a59708ff6c562b08c23c73,
49,,,,,,,,,,,,,,1.0,,,,,d997f70cf7082ec18ffbb3e7c382001c,
50,,1.0,,,,,,,,,,,,,,,,,6dcbe83bd781f1e952da56ed2dd9ccf9,
51,,,,,1.0,,,,,,,,,,,,,,518be0d63a29128230c7c13be225837d,
52,,,,,,,,,,,,,,,,,1.0,,c199a61bd8a4e16896e15bf0613bf010,
53,,1.0,,,,,,,,,,,,,,,,,0352f0af94edb563fdee80a14965ea1d,
54,,,,,,,,,,,,,,,,,,,f91cae11b0c8eaf832880a328fbabbcf,1.0
55,,,,,,,,,1.0,,,,,,,,,,b9520049ff3e799ec368ae0aa99ec5f5,
56,,1.0,,,,,,,,,,,,,,,,,353f9ce7cb7c0090fd8880b0e9bf5809,
57,,,0.20413981742489948,,0.19048573741654085,,,,,,,,,0.4015872399290013,,,0.20378720522955854,,cca81977309f3d52de5201432a1a98c4,
58,,,,,,,,,1.0,,,,,,,,,,755688570dda03850c9ea9974e241110,
59,,,,,,,,,,,,,,,,,,1.0,c099a6dd457ab308941333b4d9517485,
60,,,,,0.5932184306632916,,,,,,0.4067815693367085,,,,,,,,f5ce47ef55f66c279c306ceeb5e3f01e,
