uniq_id,amazon echo,android,arduino,aws,azure,drupal,firebase,gaming console,heroku,ios,linux,mac os,mainframe,predix,raspberry pi,salesforce,sharepoint,windows phone,wordpress
418ff92580b270ef4e7c14f0ddfc36b4,,,,,,,,,,,,,,,,,,,
8aec88cba08d53da65ab99cf20f6f9d9,,,,,,,,,,,,,,,,,,,
46baa1f69ac07779274bcd90b85d9a72,,,,,,,,,,,,,,,,,,,
3941b2f206ae0f900c4fba4ac0b18719,,,,,,,,,,,,,,,,,,,
45efa1f6bc65acc32bbbb953a1ed13b7,,,,,,,,,,,1.0,,,,,,,,
e0ac9d926dda5e95162ef05adea7318c,,,,,,,,,,,,,,,,,,,
e7e326053c586bd94e59f1fd74de4a1b,,,,,,,,,,,,,,,,,,,
b0dadecf4c3c2beecb9c773ca11ecda4,,,,1.0,1.0,,,,,,,,,,,,,,
28f5e0c1cc3314813e674f0c32b04d1b,,,,,,,,,,,,,,,,,,,
95c9127e2770172f454f3b83981eaa88,,,,,,,,,,1.0,,,,,,,,,
5e0ff38f5eaf44726f4e3d1dd257a244,,,,,,,,,,,,,,,,,,,
e4a1ff1b6c0fda5f345e57cf1acb40dd,,,,,,,,,,,1.0,,,,,,,,
d0c81a2e3e5d666f3d730f1048c49132,,,,,,,,,,,,,,,,,,,
51279d060da242e3baea98b26ddd641e,,,,,,,,,,,,,,,,,,,
48b7ca0c2f6191fb48e7ecf19fbd3322,,,,,,,,,,,,,,,,,,,
9e5704d08bc07ddb6df9ef98b223b036,,,,,,,,,,,,,,,,,,,
e4dceaaaaae37ca6eabb04a7d42498b4,,,,,,,,,,,,,,,,,,,
7ad2eadde69e07fee0e38c1a251dd81f,,,,,,,,,,,,,,,,,,,
f3af6886ca0d133abda2ddf9b84633e4,,,,,,,,,,,,,,,,,,,
e4f57bc5366124a0a47cac27f557f9ec,,,,,,,,,,,,,,,,,,,
d3073d47b79938269b22bdea4dc0b9b8,,,,,,,,,,,,,,,,,,,
c014c8569c91f22bc871940bfa4b4296,,,,,,,,,,,,,,,,,,,
b7fab2d3de5e129310b382d8f51508f6,,,,,,,,,,,1.0,,,,,,,,
4868383e3f99535778f354fcb734d57c,,,,,,,,,,,,,,,,,,,
81f8732626888727fcc1093b6c084839,,,,,,,,,,,,,,,,,,,
cf902dc6fd702207563ed1cdc03ef05e,,,,,,,,,,,,,,,,,,,
1bef3cf6259e80d18222407858ad9052,,,,,,,,,,,,,,,,,,,
72a3f0f0f24a0a78c5fac3c2376f5979,,,,,,,,,,,,,,,,,,,
4a3f8742fae151757eb290a774968371,,,,,,,,,,,1.0,,,,,,,,
b1db84e23f424b1481b29212749abadc,,,,,,,,,,,1.0,,,,,,,,
51a0050d469e787dba2102383797536d,,,,,,,,,,,,,,,,,,,
f2ade5d053b992593e2bdacd83a18a7f,,,,,,,,,,,,,,,,,,,
2831bbdba025f87efca38b9761f26b95,,1.0,,,,,,,,1.0,,,,,,,,,
2b2322459de27834b0c3c86737fb16a8,,,,,,,,,,,,,,,,,,,
b923d29624fb4dc9e193aa30f8253ee6,,,,,,,,,,,,,,,,,,,
5be5533c9ed448d1ef92016a56573869,,,,,,,,,,,,,,,,,,,
ebdaa795cb443c6b7881b7a15c4c25b1,,,,,,,,,,,,,,,,1.0,,,
d92f267244249065890ee6bde5275f49,,,,,,,,,,,,,,,,,,,
8cbcc9ef3be25e4409fcb4ab55d6503d,,,,,1.0,,,,,,,,,,,,,,
e2f1a046c937631529aec11a56f8590a,,,,,,,,,,1.0,,,,,,,,,
a2ef697606d460795dda16de672a5d5d,,,,,,,,,,,1.0,,,,,,,,
d1130a38c05cd6f6df40a2636a76ea5b,,,,,,,,,,,,,,,,,,,
8cb4914f42c5b805d19be0952b3c88e9,,,,,,,,,,,,,,,,,,,
8c50099ba0e24e089c12c6e68bb2bdc6,,,,,,,,,,,,,,,,,,,
d6920e2979999da6d892774e2be97b75,,,,,,,,,,,,,,,,,,,
72e40fa6a09e015785a798433af77387,,,,,,,,,,,,,,,,,,,
47d7528160f4860a7bfd6dc1b9cdefb8,,,,,,,,,,,,,,,,,,,
065002d37b05ad5fa6478b709b94a3a4,,,,,,,,,,,,,,,,,,,
b2db6c4923a59708ff6c562b08c23c73,,,,,,,,,,,,,,,,,,,
d997f70cf7082ec18ffbb3e7c382001c,,,,,,,,,,,,,,,,,,,
6dcbe83bd781f1e952da56ed2dd9ccf9,,,,,,,,,,,,,,,,,,,
518be0d63a29128230c7c13be225837d,,,,,,,,,,,,,,,,,,,
c199a61bd8a4e16896e15bf0613bf010,,,,,,,,,,,,,,,,,,,
0352f0af94edb563fdee80a14965ea1d,,,,,,,,,,,,,,,,,,,
